chunk,Question,Option_A,Option_B,Option_C,Option_D,Answer_Key
"المواطن البيئية Habitats

وهب الله سبحانه وتعالى لأجسام الحيوانات كثيرًا من التكيفات، منها تكيفات
للتغذي والهضم والدعامة. الاختلاف في التكيفات تساعد المخلوقات على العيش
في بيئات مختلفة. حيث تعيش الفقاريات واللافقاريات في المحيطات والمياه
العذبة وعلى اليابسة. فقد تجدها في الصحاري أو المناطق العشبية، أو الغابات
الممطرة، أو المناطق القطبية، وفي كثير من المناطق الحيوية على اليابسة
والأشعة البيئية المائية.

تركيب الخلية الحيوانية Animal Cell Structure",ما هي التكيفات التي تساعد الحيوانات على العيش في بيئات مختلفة؟,التكيفات للتغذي والهضم والدعامة,التكيفات للعيش في المدن,التكيفات للسباحة فقط,التكيفات للنوم فقط,A
"المواطن البيئية Habitats

وهب الله سبحانه وتعالى لأجسام الحيوانات كثيرًا من التكيفات، منها تكيفات
للتغذي والهضم والدعامة. الاختلاف في التكيفات تساعد المخلوقات على العيش
في بيئات مختلفة. حيث تعيش الفقاريات واللافقاريات في المحيطات والمياه
العذبة وعلى اليابسة. فقد تجدها في الصحاري أو المناطق العشبية، أو الغابات
الممطرة، أو المناطق القطبية، وفي كثير من المناطق الحيوية على اليابسة
والأشعة البيئية المائية.

تركيب الخلية الحيوانية Animal Cell Structure",أي نوع من الحيوانات يمكن أن يعيش في المناطق القطبية؟,الفقاريات,اللافقاريات فقط,الحيوانات الأليفة فقط,الأسماك فقط,A
"بغض النظر عن المكان الذي يعيش فيه الحيوان أو الكائنات التي وهبها الله
له، فإن الخلايا الحيوانية تفتقر إلى الجدار الخلوي. بعكس النباتات التي
تحيطها الجدار الخلوي، فإن خلاياها لا تحتوي على جدار خلوي، بل محاطة بغشاء
خلوي - الذي يسمح بمرور كمية كبيرة من الأنسجة، والتنسيج مع الخلايا
الأخرى. إلا أن الخلايا الحيوانية لها إنجاز وظيفي مميز. التنسيج العصبي
ينقل السيالات العصبية داخل الجسم، ويسمح التفاعل السريع مع الحركة.",ما الذي يميز الخلايا الحيوانية عن الخلايا النباتية؟,وجود الجدار الخلوي,وجود غشاء خلوي,عدم وجود غشاء خلوي,وجود جدار خارجي,B
"بغض النظر عن المكان الذي يعيش فيه الحيوان أو الكائنات التي وهبها الله
له، فإن الخلايا الحيوانية تفتقر إلى الجدار الخلوي. بعكس النباتات التي
تحيطها الجدار الخلوي، فإن خلاياها لا تحتوي على جدار خلوي، بل محاطة بغشاء
خلوي - الذي يسمح بمرور كمية كبيرة من الأنسجة، والتنسيج مع الخلايا
الأخرى. إلا أن الخلايا الحيوانية لها إنجاز وظيفي مميز. التنسيج العصبي
ينقل السيالات العصبية داخل الجسم، ويسمح التفاعل السريع مع الحركة.",ما هي وظيفة التنسيج العصبي في الجسم؟,نقل السيالات العصبية,تكوين الجدار الخلوي,تحسين امتصاص الماء,تكوين الأنسجة النباتية,A
"بغض النظر عن المكان الذي يعيش فيه الحيوان أو الكائنات التي وهبها الله
له، فإن الخلايا الحيوانية تفتقر إلى الجدار الخلوي. بعكس النباتات التي
تحيطها الجدار الخلوي، فإن خلاياها لا تحتوي على جدار خلوي، بل محاطة بغشاء
خلوي - الذي يسمح بمرور كمية كبيرة من الأنسجة، والتنسيج مع الخلايا
الأخرى. إلا أن الخلايا الحيوانية لها إنجاز وظيفي مميز. التنسيج العصبي
ينقل السيالات العصبية داخل الجسم، ويسمح التفاعل السريع مع الحركة.",ما هي الخلايا التي تحتوي على جدار خلوي؟,الخلايا الحيوانية,الخلايا النباتية,الخلايا العصبية,الخلايا الدموية الحمراء,B
"في أثناء القرن التاسع عشر، إلى أسفل في القرن العشرين، وحتى القرن
العشرين، توصل العلماء إلى حقائق مدهشة عن تصنيف الحيوانات. فقد كان العالم
الألماني إرنست هيكل في عام 1866، أول من صنف المخلوقات الحية إلى مملكة
الحيوانات، ومملكة النباتات، والمخلوقات الحية الدقيقة. وقد كان هذا إنجازًا
في معرفة الحقائق العلمية. وفي ذلك القرن، فقد تبين العلماء حدد عزل، كما
يظهر بعضها إلى القاع، مما جعل الأنسجة منبعثة من الجسم، تصنف إلى مملكة
الحيوان. وبعد ذلك بحلول عام 1970-1960، تعرف العلماء على مجموعة من",من هو العالم الذي صنف المخلوقات الحية إلى مملكة الحيوانات ومملكة النباتات؟,تشارلز داروين,إرنست هيكل,ألفرد والاس,لويس باستير,B
"في أثناء القرن التاسع عشر، إلى أسفل في القرن العشرين، وحتى القرن
العشرين، توصل العلماء إلى حقائق مدهشة عن تصنيف الحيوانات. فقد كان العالم
الألماني إرنست هيكل في عام 1866، أول من صنف المخلوقات الحية إلى مملكة
الحيوانات، ومملكة النباتات، والمخلوقات الحية الدقيقة. وقد كان هذا إنجازًا
في معرفة الحقائق العلمية. وفي ذلك القرن، فقد تبين العلماء حدد عزل، كما
يظهر بعضها إلى القاع، مما جعل الأنسجة منبعثة من الجسم، تصنف إلى مملكة
الحيوان. وبعد ذلك بحلول عام 1970-1960، تعرف العلماء على مجموعة من",في أي فترة زمنية توصل العلماء إلى حقائق مدهشة عن تصنيف الحيوانات؟,في القرن الثامن عشر,في القرن التاسع عشر والعشرين,في القرن السابع عشر,في القرن الحادي والعشرين,B
"في أثناء القرن التاسع عشر، إلى أسفل في القرن العشرين، وحتى القرن
العشرين، توصل العلماء إلى حقائق مدهشة عن تصنيف الحيوانات. فقد كان العالم
الألماني إرنست هيكل في عام 1866، أول من صنف المخلوقات الحية إلى مملكة
الحيوانات، ومملكة النباتات، والمخلوقات الحية الدقيقة. وقد كان هذا إنجازًا
في معرفة الحقائق العلمية. وفي ذلك القرن، فقد تبين العلماء حدد عزل، كما
يظهر بعضها إلى القاع، مما جعل الأنسجة منبعثة من الجسم، تصنف إلى مملكة
الحيوان. وبعد ذلك بحلول عام 1970-1960، تعرف العلماء على مجموعة من",ما هي المخلوقات الحية التي تم تصنيفها إلى مملكة الحيوانات؟,الحيوانات والنباتات,الحيوانات الدقيقة فقط,الحيوانات والنباتات الدقيقة,النباتات فقط,C
"الحركة Movement

مكّن الخالق، سبحانه وتعالى، الحيوانات من الحركة بطرق أسرع من المخلوقات
الحية التي تتبع ممالك أخرى، بما فيها ما من أنسجة عصبية وعضلية معقدة.
وهذه أهم صفات المملكة الحيوانية. فبعض الحيوانات لها طريقة بسيطة في
الحركة؛ فالمعروفة مثل: نظر حول الأذن، وأجساد السلمندر تسبح في عكس اتجاه
التيار. إلا أن بعض الحيوانات تكون ثابتة في مكانها في طور احتمال النمو،
وتسمى جالسة sessile، رغم أن معظمها شكل جسم يستطيع الحركة خلال بعض مراحل
النمو.

التكاثر Reproduction",ما هي إحدى الطرق التي تتحرك بها الحيوانات البسيطة مثل السلمندر؟,تسبح في اتجاه التيار,تسبح في عكس اتجاه التيار,تتجول على اليابسة,تطير في الهواء,B
"الحركة Movement

مكّن الخالق، سبحانه وتعالى، الحيوانات من الحركة بطرق أسرع من المخلوقات
الحية التي تتبع ممالك أخرى، بما فيها ما من أنسجة عصبية وعضلية معقدة.
وهذه أهم صفات المملكة الحيوانية. فبعض الحيوانات لها طريقة بسيطة في
الحركة؛ فالمعروفة مثل: نظر حول الأذن، وأجساد السلمندر تسبح في عكس اتجاه
التيار. إلا أن بعض الحيوانات تكون ثابتة في مكانها في طور احتمال النمو،
وتسمى جالسة sessile، رغم أن معظمها شكل جسم يستطيع الحركة خلال بعض مراحل
النمو.

التكاثر Reproduction",ما هي الخاصية الرئيسية التي تميز المملكة الحيوانية عن المخلوقات الحية الأخرى؟,وجود أنسجة عصبية وعضلية معقدة,التكاثر اللاجنسي,التغذية الذاتية,الحياة في الماء فقط,A
"الحركة Movement

مكّن الخالق، سبحانه وتعالى، الحيوانات من الحركة بطرق أسرع من المخلوقات
الحية التي تتبع ممالك أخرى، بما فيها ما من أنسجة عصبية وعضلية معقدة.
وهذه أهم صفات المملكة الحيوانية. فبعض الحيوانات لها طريقة بسيطة في
الحركة؛ فالمعروفة مثل: نظر حول الأذن، وأجساد السلمندر تسبح في عكس اتجاه
التيار. إلا أن بعض الحيوانات تكون ثابتة في مكانها في طور احتمال النمو،
وتسمى جالسة sessile، رغم أن معظمها شكل جسم يستطيع الحركة خلال بعض مراحل
النمو.

التكاثر Reproduction",ما هو الاسم الذي يطلق على الحيوانات التي تبقى ثابتة في مكانها خلال بعض مراحل النمو؟,جالسة,متحركة,مائية,طائرة,A
"تتكاثر معظم الحيوانات جنسيًا، إلا أن بعض الأنواع ستسطيع التكاثر لاجنسيًا.
في التكاثر الجنسي، تمتلك الحيوانات الذكرية الحيوانات المنوية، والأنثى
البويضات. لكن بعض الحيوانات - ومنها دودة الأرض - هي خنثى hermaphrodite،
أي تنتج الحيوانات المنوية والبويضات في جسم الحيوان الواحد. وعضوًا في هذه
الحيوانات المنوية والبويضات في أثناء حياتها، في أوقات مختلفة. لهذا تم
الدوروي، ويتم ذلك أن البويضات تلقي الحيوانات المنوية، والإخصاب الخارجي",ما هو نوع التكاثر الذي يتمتع به معظم الحيوانات؟,التكاثر اللاجنسي,التكاثر الجنسي,التكاثر الخنثوي,التكاثر الخارجي,B
"تتكاثر معظم الحيوانات جنسيًا، إلا أن بعض الأنواع ستسطيع التكاثر لاجنسيًا.
في التكاثر الجنسي، تمتلك الحيوانات الذكرية الحيوانات المنوية، والأنثى
البويضات. لكن بعض الحيوانات - ومنها دودة الأرض - هي خنثى hermaphrodite،
أي تنتج الحيوانات المنوية والبويضات في جسم الحيوان الواحد. وعضوًا في هذه
الحيوانات المنوية والبويضات في أثناء حياتها، في أوقات مختلفة. لهذا تم
الدوروي، ويتم ذلك أن البويضات تلقي الحيوانات المنوية، والإخصاب الخارجي",ما هي الحيوانات التي تنتج الحيوانات المنوية والبويضات في نفس الجسم؟,الحيوانات الذكرية,الحيوانات الأنثوية,الحيوانات الخنثوية,الحيوانات المائية,C
"تتكاثر معظم الحيوانات جنسيًا، إلا أن بعض الأنواع ستسطيع التكاثر لاجنسيًا.
في التكاثر الجنسي، تمتلك الحيوانات الذكرية الحيوانات المنوية، والأنثى
البويضات. لكن بعض الحيوانات - ومنها دودة الأرض - هي خنثى hermaphrodite،
أي تنتج الحيوانات المنوية والبويضات في جسم الحيوان الواحد. وعضوًا في هذه
الحيوانات المنوية والبويضات في أثناء حياتها، في أوقات مختلفة. لهذا تم
الدوروي، ويتم ذلك أن البويضات تلقي الحيوانات المنوية، والإخصاب الخارجي",ما هي العملية التي يتم فيها تلقيح البويضات بالحيوانات المنوية في بعض الحيوانات؟,الإخصاب الداخلي,الإخصاب الخارجي,التكاثر اللاجنسي,التكاثر الخنثوي,B
"والداخلي. ويكون الإخصاب الداخلي في أغلب الأحيان. ذلك أن الإخصاب الداخلي
internal Fertilization يحدث عند اندماج الحيوانات المنوية في البويضة داخل
جسم الحيوان. وهناك ذلك ذكر السمكة الذي يلقي المني الأنثى، مما يُسمى
الإخصاب الخارجي external Fertilization.",ما هو نوع الإخصاب الذي يحدث عندما تندمج الحيوانات المنوية مع البويضة داخل جسم الحيوان؟,الإخصاب الخارجي,الإخصاب الداخلي,الإخصاب العابر,الإخصاب المتقطع,B
"والداخلي. ويكون الإخصاب الداخلي في أغلب الأحيان. ذلك أن الإخصاب الداخلي
internal Fertilization يحدث عند اندماج الحيوانات المنوية في البويضة داخل
جسم الحيوان. وهناك ذلك ذكر السمكة الذي يلقي المني الأنثى، مما يُسمى
الإخصاب الخارجي external Fertilization.",ما هو الإخصاب الذي يحدث عندما يتم إلقاء المني في الماء من قبل السمكة؟,الإخصاب الداخلي,الإخصاب الخارجي,الإخصاب الأحيائي,الإخصاب غير المباشر,B
"والداخلي. ويكون الإخصاب الداخلي في أغلب الأحيان. ذلك أن الإخصاب الداخلي
internal Fertilization يحدث عند اندماج الحيوانات المنوية في البويضة داخل
جسم الحيوان. وهناك ذلك ذكر السمكة الذي يلقي المني الأنثى، مما يُسمى
الإخصاب الخارجي external Fertilization.",ما الفرق بين الإخصاب الداخلي والإخصاب الخارجي؟,الإخصاب الداخلي يحدث داخل الجسم بينما الخارجي يحدث خارجه,الإخصاب الخارجي يحدث داخل الجسم بينما الداخلي يحدث خارجه,لا يوجد فرق بينهما,الإخصاب الداخلي يحدث في النباتات بينما الخارجي في الحيوانات,A
"تنشأ عملية الإخصاب من الحيوان في البويضة داخل جسم الحيوان. وتنمو عند
عملية الإخصاب الخارجي في الأنثى، وتضع الذكر البويضة في بيئة مناسبة. تبين
هذه العملية الشكل 6-1، أما الذكر الذي تضع الأنثى الحيوانات التي تحتوي
على الذكر. في هذه الحيوانات، قد تضع البيض، فإن البيضة المخصبة تنمو داخل
الحيوان. والفقس من الفرط، إن بعض الإناث تضع البيض مع أن تكاثر الإناث في
وقت مختلف، ومن ثم تضع الأنثى البيض مع بعضًا قليلًا من الحيوانات.",ما هي العملية التي تنشأ من دخول الحيوان المنوي في البويضة؟,الإخصاب,التكاثر اللاجنسي,الانقسام الخلوي,التحول الجنسي,A
"تنشأ عملية الإخصاب من الحيوان في البويضة داخل جسم الحيوان. وتنمو عند
عملية الإخصاب الخارجي في الأنثى، وتضع الذكر البويضة في بيئة مناسبة. تبين
هذه العملية الشكل 6-1، أما الذكر الذي تضع الأنثى الحيوانات التي تحتوي
على الذكر. في هذه الحيوانات، قد تضع البيض، فإن البيضة المخصبة تنمو داخل
الحيوان. والفقس من الفرط، إن بعض الإناث تضع البيض مع أن تكاثر الإناث في
وقت مختلف، ومن ثم تضع الأنثى البيض مع بعضًا قليلًا من الحيوانات.",أين تنمو البيضة المخصبة في بعض الحيوانات؟,داخل جسم الأنثى,في الماء,على اليابسة,داخل جسم الذكر,A
"تنشأ عملية الإخصاب من الحيوان في البويضة داخل جسم الحيوان. وتنمو عند
عملية الإخصاب الخارجي في الأنثى، وتضع الذكر البويضة في بيئة مناسبة. تبين
هذه العملية الشكل 6-1، أما الذكر الذي تضع الأنثى الحيوانات التي تحتوي
على الذكر. في هذه الحيوانات، قد تضع البيض، فإن البيضة المخصبة تنمو داخل
الحيوان. والفقس من الفرط، إن بعض الإناث تضع البيض مع أن تكاثر الإناث في
وقت مختلف، ومن ثم تضع الأنثى البيض مع بعضًا قليلًا من الحيوانات.",ما هي النتيجة المحتملة لعملية الإخصاب؟,تكوين الجنين,عدم حدوث الإخصاب,تكوين البيض فقط,حدوث الإجهاض,A
"تحتاج الحيوانات إلى توفير الغذاء، وكل خلية بيكنها أن تتنح حيويًا لتكمل
النمو. على سبيل المثال:

-   التبرعم: ينتج الحيوان الجديد قطعًا من الجسم إذا كان الحيوان يحتوي
    جسمًا حقيقيًا.

· التجزؤ: يعني تنقسم أحد الأبوين إلى قطع، وكل قطعة يمكنها أن تنمو فتصبح
حيوانًا مكتمل النمو مثل حيوان الإسفنج.

· التجديد: ينمو فرد جديد من أجزاء مفقودة من الجسم إذا كان الجزء يحتوي
على معلومات وراثية كافية، مثل دودة البلايزاريا.",ما هي الطريقة التي يمكن أن ينتج بها حيوان جديد من قطع الجسم في عملية التجزؤ؟,تتكون قطع جديدة من الخلايا الجذعية فقط,يمكن لكل قطعة أن تنمو لتصبح حيواناً مكتمل النمو,تحتاج القطع إلى التكاثر الجنسي,يجب أن تكون القطع مرتبطة بجسم الأم,B
"تحتاج الحيوانات إلى توفير الغذاء، وكل خلية بيكنها أن تتنح حيويًا لتكمل
النمو. على سبيل المثال:

-   التبرعم: ينتج الحيوان الجديد قطعًا من الجسم إذا كان الحيوان يحتوي
    جسمًا حقيقيًا.

· التجزؤ: يعني تنقسم أحد الأبوين إلى قطع، وكل قطعة يمكنها أن تنمو فتصبح
حيوانًا مكتمل النمو مثل حيوان الإسفنج.

· التجديد: ينمو فرد جديد من أجزاء مفقودة من الجسم إذا كان الجزء يحتوي
على معلومات وراثية كافية، مثل دودة البلايزاريا.",ما هو المثال الذي يوضح عملية التجديد في الحيوانات؟,تجديد الأنسجة في النباتات,نمو فرد جديد من أجزاء مفقودة مثل دودة البلايزاريا,تكوين حيوانات جديدة من بيض غير مخصب,تكوين حيوانات جديدة عن طريق الانقسام الخلوي,B
"تحتاج الحيوانات إلى توفير الغذاء، وكل خلية بيكنها أن تتنح حيويًا لتكمل
النمو. على سبيل المثال:

-   التبرعم: ينتج الحيوان الجديد قطعًا من الجسم إذا كان الحيوان يحتوي
    جسمًا حقيقيًا.

· التجزؤ: يعني تنقسم أحد الأبوين إلى قطع، وكل قطعة يمكنها أن تنمو فتصبح
حيوانًا مكتمل النمو مثل حيوان الإسفنج.

· التجديد: ينمو فرد جديد من أجزاء مفقودة من الجسم إذا كان الجزء يحتوي
على معلومات وراثية كافية، مثل دودة البلايزاريا.",ما هي العملية التي تتطلب وجود معلومات وراثية كافية من الجزء المفقود؟,التبرعم,التجزؤ,التجديد,التكاثر الجنسي,C
"ن الجنيني المبكر: تمر اللائحة (الزيجوت) في كثير من الحيوانات بمراحل
الانقسام المتساوي، وسلسلة انقسامات للخلايا لتكوين خلايا جديدة. بعد أن
يتم الانقسام المتساوي، يكون مركزاً مضغوطاً من الخلايا. وتستمر في الانقسام
في الانقسام المتساوي حتى تكون اللائحة مجوفة تسمى البلاستولا blastula،
الشكل 5-6، وذلك خلال مراحل التكوين الجنيني المبكر. ويزداد عدد الخلايا مع
بقاء الحجم الكلي ثابتاً بسبب انقسام خلايا اللائحة الابتدائية الأصلية. لذا
فإن الحجم الكلي للائحة لا يكبر لأن الخلايا لا تنمو.",ما هي المرحلة التي تتكون فيها البلاستولا خلال التكوين الجنيني؟,الانقسام المتساوي,الانقسام الاختزالي,الانقسام غير المتساوي,الانقسام الميتوزي,A
"ن الجنيني المبكر: تمر اللائحة (الزيجوت) في كثير من الحيوانات بمراحل
الانقسام المتساوي، وسلسلة انقسامات للخلايا لتكوين خلايا جديدة. بعد أن
يتم الانقسام المتساوي، يكون مركزاً مضغوطاً من الخلايا. وتستمر في الانقسام
في الانقسام المتساوي حتى تكون اللائحة مجوفة تسمى البلاستولا blastula،
الشكل 5-6، وذلك خلال مراحل التكوين الجنيني المبكر. ويزداد عدد الخلايا مع
بقاء الحجم الكلي ثابتاً بسبب انقسام خلايا اللائحة الابتدائية الأصلية. لذا
فإن الحجم الكلي للائحة لا يكبر لأن الخلايا لا تنمو.",لماذا لا يزيد حجم اللائحة خلال الانقسام المتساوي؟,لأن الخلايا لا تنمو,لأنها تتكون من خلايا كبيرة,لأنها تفقد الماء,لأنها تتجمع في مكان واحد,A
"ن الجنيني المبكر: تمر اللائحة (الزيجوت) في كثير من الحيوانات بمراحل
الانقسام المتساوي، وسلسلة انقسامات للخلايا لتكوين خلايا جديدة. بعد أن
يتم الانقسام المتساوي، يكون مركزاً مضغوطاً من الخلايا. وتستمر في الانقسام
في الانقسام المتساوي حتى تكون اللائحة مجوفة تسمى البلاستولا blastula،
الشكل 5-6، وذلك خلال مراحل التكوين الجنيني المبكر. ويزداد عدد الخلايا مع
بقاء الحجم الكلي ثابتاً بسبب انقسام خلايا اللائحة الابتدائية الأصلية. لذا
فإن الحجم الكلي للائحة لا يكبر لأن الخلايا لا تنمو.",ما هو الشكل الذي تأخذه اللائحة بعد تكوينها؟,البلاستولا,الزيجوت,الجنين,السيتوبلازم,A
"وتكون الخلايا في المراحل المبكرة من الكيسة الجنينية في طبقة واحدة من
الخلايا. في أثناء النمو الجنيني تبدأ الكيسة الجنينية في الانطواء إلى
الداخل مكونة تجويفًا ذو فتحة، كما هو موضح في الشكل. ينشأ تجويف البلاستولا
في اللائحة ويتحرك داخل الخلايا ليصبح الجاسترولا gastrula في الكيسة
الجنينية، وهي كيسة دو طبقتين من الخلايا لها فتحة تشبه الفقاعة (تجاويف
الفقاعات هي فجوة بلازمية كروية).",ما هو اسم التجويف الذي يتكون في الكيسة الجنينية أثناء نموها؟,البلستولا,الجاسترولا,الفقاعة,الطبقة الخارجية,A
"وتكون الخلايا في المراحل المبكرة من الكيسة الجنينية في طبقة واحدة من
الخلايا. في أثناء النمو الجنيني تبدأ الكيسة الجنينية في الانطواء إلى
الداخل مكونة تجويفًا ذو فتحة، كما هو موضح في الشكل. ينشأ تجويف البلاستولا
في اللائحة ويتحرك داخل الخلايا ليصبح الجاسترولا gastrula في الكيسة
الجنينية، وهي كيسة دو طبقتين من الخلايا لها فتحة تشبه الفقاعة (تجاويف
الفقاعات هي فجوة بلازمية كروية).",كم عدد طبقات الخلايا في الجاسترولا؟,طبقة واحدة,طبقتان,ثلاث طبقات,أربع طبقات,B
"وتكون الخلايا في المراحل المبكرة من الكيسة الجنينية في طبقة واحدة من
الخلايا. في أثناء النمو الجنيني تبدأ الكيسة الجنينية في الانطواء إلى
الداخل مكونة تجويفًا ذو فتحة، كما هو موضح في الشكل. ينشأ تجويف البلاستولا
في اللائحة ويتحرك داخل الخلايا ليصبح الجاسترولا gastrula في الكيسة
الجنينية، وهي كيسة دو طبقتين من الخلايا لها فتحة تشبه الفقاعة (تجاويف
الفقاعات هي فجوة بلازمية كروية).",ما هي المرحلة التي يحدث فيها انطواء الكيسة الجنينية؟,المرحلة الجنينية المبكرة,مرحلة الجاسترولا,مرحلة البلاستولا,مرحلة الولادة,C
"انظر الشكل 5-6، ولاحظ كيف يختلف هذا رسم التخطيطي لمراحل (الشكل 16 للائحة
البيلالية). الانقسام الجنيني في مراحل الأولية. توضح هذه المراحل التخطيطي
أن الكيسة الجنينية تبدأ في الانقسام الداخلي حتى تكونت الجاسترولا. وتبدأ
أعضاء الكائن الحي الداخلية في التكوين، فهي تعد في الكيسة الجنينية
الأولية مرحلة لبدء تكوين الأعضاء.",ما هي المرحلة التي تبدأ فيها الكيسة الجنينية في الانقسام الداخلي؟,مرحلة الإخصاب,المرحلة الأولية,الجاسترولا,مرحلة الولادة,C
"انظر الشكل 5-6، ولاحظ كيف يختلف هذا رسم التخطيطي لمراحل (الشكل 16 للائحة
البيلالية). الانقسام الجنيني في مراحل الأولية. توضح هذه المراحل التخطيطي
أن الكيسة الجنينية تبدأ في الانقسام الداخلي حتى تكونت الجاسترولا. وتبدأ
أعضاء الكائن الحي الداخلية في التكوين، فهي تعد في الكيسة الجنينية
الأولية مرحلة لبدء تكوين الأعضاء.",ماذا يحدث في الكيسة الجنينية الأولية أثناء الانقسام الجنيني؟,تكوين الأعضاء الداخلية,تكوين الجينوم,تكوين الخلايا الليمفاوية,تكوين الجنين بالكامل,A
"انظر الشكل 5-6، ولاحظ كيف يختلف هذا رسم التخطيطي لمراحل (الشكل 16 للائحة
البيلالية). الانقسام الجنيني في مراحل الأولية. توضح هذه المراحل التخطيطي
أن الكيسة الجنينية تبدأ في الانقسام الداخلي حتى تكونت الجاسترولا. وتبدأ
أعضاء الكائن الحي الداخلية في التكوين، فهي تعد في الكيسة الجنينية
الأولية مرحلة لبدء تكوين الأعضاء.",ما هي المرحلة التي تلي الانقسام الداخلي للكيسة الجنينية؟,المرحلة الثانية,المرحلة الثالثة,الجاسترولا,مرحلة الولادة,C
"نمو الأنسجة Tissues development: لاحظ في الشكل 6-6 أن طبقة الخلايا داخل
الجاسترولا - تسمى الطبقة الداخلية endoderm - تنمو وتتخصص إلى أعضاء الهضم
وبطانة القناة الهضمية، وأن الطبقة الخارجية ectoderm تنمو لتكون الجلد
والأعصاب العصبية. في بعض الحيوانات يستمر انقسام الخلايا في الجاسترولا،
وتبرز طبقة أخرى من الخلايا تسمى الطبقة الوسطى mesoderm التي تكون بين
الطبقة الخارجية والطبقة الداخلية. في حيوانات ذات الطبقة الوسطى ينشأ
الجهاز العصبي والعضلي والهيكل العظمي والأعضاء الأخرى. الحيوانات الأكثر",ما هي الطبقة الداخلية التي تنمو وتتخصص إلى أعضاء الهضم والبطانة القناة الهضمية؟,الطبقة الوسطى,الطبقة الخارجية,الطبقة الداخلية,الطبقة الجنينية,C
"نمو الأنسجة Tissues development: لاحظ في الشكل 6-6 أن طبقة الخلايا داخل
الجاسترولا - تسمى الطبقة الداخلية endoderm - تنمو وتتخصص إلى أعضاء الهضم
وبطانة القناة الهضمية، وأن الطبقة الخارجية ectoderm تنمو لتكون الجلد
والأعصاب العصبية. في بعض الحيوانات يستمر انقسام الخلايا في الجاسترولا،
وتبرز طبقة أخرى من الخلايا تسمى الطبقة الوسطى mesoderm التي تكون بين
الطبقة الخارجية والطبقة الداخلية. في حيوانات ذات الطبقة الوسطى ينشأ
الجهاز العصبي والعضلي والهيكل العظمي والأعضاء الأخرى. الحيوانات الأكثر",أي من الطبقات الجرثومية تنشأ منها الأعضاء العصبية والعضلية والهيكل العظمي؟,الطبقة الداخلية,الطبقة الخارجية,الطبقة الوسطى,الطبقة الجنينية,C
"نمو الأنسجة Tissues development: لاحظ في الشكل 6-6 أن طبقة الخلايا داخل
الجاسترولا - تسمى الطبقة الداخلية endoderm - تنمو وتتخصص إلى أعضاء الهضم
وبطانة القناة الهضمية، وأن الطبقة الخارجية ectoderm تنمو لتكون الجلد
والأعصاب العصبية. في بعض الحيوانات يستمر انقسام الخلايا في الجاسترولا،
وتبرز طبقة أخرى من الخلايا تسمى الطبقة الوسطى mesoderm التي تكون بين
الطبقة الخارجية والطبقة الداخلية. في حيوانات ذات الطبقة الوسطى ينشأ
الجهاز العصبي والعضلي والهيكل العظمي والأعضاء الأخرى. الحيوانات الأكثر",ما الاسم الذي يطلق على الطبقة الخارجية التي تنمو لتكون الجلد والأعصاب؟,الطبقة الداخلية,الطبقة الوسطى,الطبقة الخارجية,الطبقة الجنينية,C
"مستويات بناء جسم الحيوان Animal Body Plans

تؤثر الصفات التشريحية في مستويات بناء أجسام الحيوانات في التصنيف. فعلى
المثال، تجتمع الحيوانات التي ليس لها أنسجة في مجموعة منفصلة عن الحيوانات
التي لها أنسجة. تصنف الحيوانات ذات الأجسام المتماثلة إلى قطع في مجموعة
منفصلة عن الحيوانات التي لها أجسام غير متماثلة، كما هو موضح في الشكل
6-7.",ما هي الحيوانات التي يتم تصنيفها في مجموعة منفصلة عن الحيوانات التي لها أنسجة؟,الحيوانات التي ليس لها أنسجة,الحيوانات المائية,الحيوانات البرية,الحيوانات الثديية,A
"مستويات بناء جسم الحيوان Animal Body Plans

تؤثر الصفات التشريحية في مستويات بناء أجسام الحيوانات في التصنيف. فعلى
المثال، تجتمع الحيوانات التي ليس لها أنسجة في مجموعة منفصلة عن الحيوانات
التي لها أنسجة. تصنف الحيوانات ذات الأجسام المتماثلة إلى قطع في مجموعة
منفصلة عن الحيوانات التي لها أجسام غير متماثلة، كما هو موضح في الشكل
6-7.",كيف يتم تصنيف الحيوانات ذات الأجسام المتماثلة؟,إلى مجموعة منفصلة عن الحيوانات غير المتماثلة,إلى مجموعة مع الحيوانات ذات الأنسجة,إلى مجموعة مع جميع الحيوانات,إلى مجموعة مع الحيوانات المائية فقط,A
"مستويات بناء جسم الحيوان Animal Body Plans

تؤثر الصفات التشريحية في مستويات بناء أجسام الحيوانات في التصنيف. فعلى
المثال، تجتمع الحيوانات التي ليس لها أنسجة في مجموعة منفصلة عن الحيوانات
التي لها أنسجة. تصنف الحيوانات ذات الأجسام المتماثلة إلى قطع في مجموعة
منفصلة عن الحيوانات التي لها أجسام غير متماثلة، كما هو موضح في الشكل
6-7.",ما هو الشكل الذي يوضح تصنيف الحيوانات حسب الأنسجة؟,الشكل 6-7,الشكل 5-3,الشكل 8-1,الشكل 4-2,A
